HouseholdSurvey.earninc_hihsp,HouseholdSurvey.hihage,HouseholdSurvey.hihgender,HouseholdSurvey.hihecon,HouseholdSurvey.specon,HouseholdSurvey.age_1,HouseholdSurvey.hhwork,HouseholdSurvey.hedqual8,HouseholdSurvey.nssec2,HouseholdSurvey.seg,HouseholdSurvey.tothinc,HouseholdSurvey.ha7_1,HouseholdSurvey.hb509,HouseholdSurvey.save1,HouseholdSurvey.credit109a,HouseholdSurvey.credit309c,HouseholdSurvey.hcost_amt,HouseholdSurvey.hk2
12000,65,1,1,NA,13,1,4,4,12,7,1,2,NA,NA,NA,NA,2
4000,76,1,5,5,15,5,4,9,17,7,5,2,NA,NA,NA,NA,3
47000,30,1,2,NA,6,1,4,1,4,8,2,1,3,0,1,1000,3
0,83,2,5,NA,10,2,3,9,17,5,2,2,NA,NA,NA,NA,3
0,66,1,10,NA,14,2,2,9,17,NA,10,2,NA,NA,NA,NA,2
0,66,1,5,NA,14,2,4,9,17,1,5,1,NA,NA,NA,750,3
30000,56,2,2,5,12,4,6,3,5,6,2,4,5,0,0,650,8
0,60,2,5,NA,12,2,4,9,17,8,5,2,NA,NA,NA,NA,1
39000,26,2,2,2,6,3,4,1,5,7,2,4,2,1,0,1000,3
18000,40,1,1,NA,8,1,3,4,2,4,1,4,3,0,0,770,2
19000,35,1,3,NA,7,1,4,2,2,5,3,4,3,1,0,410,2
31000,26,1,2,2,6,3,7,7,7,7,2,4,NA,NA,NA,460,3
24000,24,2,2,NA,5,1,4,1,4,5,2,4,NA,NA,NA,800,2
39000,42,1,2,4,7,4,4,1,1,8,4,1,5,0,0,1000,2
60000,55,1,2,3,12,3,4,2,6,8,3,1,NA,NA,NA,800,1
62000,27,1,2,2,6,3,4,1,5,8,2,4,NA,NA,NA,1000,2
62000,42,2,2,2,9,3,2,1,4,8,2,1,1,0,0,1000,2
0,76,2,5,NA,16,2,5,9,17,3,5,4,NA,NA,NA,300,2
25000,47,2,3,NA,10,1,1,3,6,5,3,1,NA,NA,NA,530,1
62000,35,1,2,2,7,3,3,1,4,8,2,1,NA,NA,NA,600,1
3000,41,2,3,NA,9,1,6,6,10,3,3,4,NA,NA,NA,430,3
6000,35,1,3,NA,7,1,1,7,11,3,3,4,NA,NA,NA,430,3
45000,42,1,2,4,8,4,6,7,11,8,4,4,1,0,0,600,3
30000,38,1,2,3,8,3,2,1,5,6,3,1,NA,NA,NA,NA,8
42000,57,1,2,NA,12,1,5,7,9,8,2,2,3,0,0,NA,1
10000,50,2,3,NA,10,1,1,6,10,3,3,4,1,0,0,480,3
10000,40,2,1,NA,8,1,3,4,12,4,1,4,NA,NA,NA,490,3
0,40,2,4,NA,8,2,6,9,17,NA,4,4,5,0,0,370,8
55000,41,1,2,2,8,3,3,3,5,8,2,2,3,0,0,NA,1
20000,42,2,1,NA,9,1,4,2,5,4,1,4,NA,NA,NA,810,2
0,84,2,5,NA,17,2,6,9,17,4,5,4,NA,NA,NA,400,7
0,24,2,8,NA,5,2,4,9,17,NA,8,4,5,0,0,500,8
40000,55,1,2,1,11,3,2,2,6,7,2,1,3,0,0,700,1
30000,46,2,2,8,9,4,4,1,4,6,8,1,NA,NA,NA,1000,3
0,80,2,5,NA,16,2,2,9,17,3,5,2,5,0,0,NA,1
0,79,1,5,5,16,5,4,9,17,3,5,2,NA,NA,NA,NA,1
0,69,1,5,5,14,5,1,9,17,7,5,2,NA,NA,NA,NA,2
0,78,2,5,NA,16,2,6,9,17,3,5,2,3,0,0,NA,2
42000,31,2,1,1,7,3,1,4,2,8,1,1,3,1,0,560,2
62000,48,2,2,NA,10,1,4,1,5,8,2,1,NA,NA,NA,420,2
18000,53,1,2,NA,11,1,1,7,11,4,2,4,1,0,0,340,3
41000,33,2,2,2,7,3,4,3,6,8,2,4,NA,NA,NA,1000,2
0,22,1,8,NA,5,2,2,9,17,2,8,4,NA,NA,NA,450,3
0,19,1,8,NA,4,2,2,9,17,NA,8,4,3,1,0,620,3
47000,53,1,2,2,11,3,4,7,11,8,2,4,NA,NA,NA,650,2
33000,47,1,2,2,10,3,3,7,9,7,2,1,NA,NA,NA,660,2
62000,53,1,2,NA,11,1,4,2,5,8,2,2,NA,NA,NA,NA,1
18000,25,1,2,NA,5,1,2,7,7,4,2,4,NA,NA,NA,1000,2
20000,21,2,8,8,5,5,2,3,6,6,8,4,NA,NA,NA,1000,3
58000,43,2,2,2,9,3,4,2,5,8,2,2,NA,NA,NA,NA,2
47000,28,2,1,NA,6,1,4,2,2,8,1,4,NA,NA,NA,1000,2
0,28,2,8,8,6,5,2,6,6,NA,8,4,NA,NA,NA,800,3
0,83,2,5,NA,17,2,6,9,17,2,5,4,NA,NA,NA,530,3
0,30,1,8,NA,6,2,4,9,17,NA,8,4,NA,NA,NA,1000,2
25000,34,2,1,NA,7,1,4,2,5,7,1,2,NA,NA,NA,NA,2
0,80,1,5,5,16,5,4,9,17,7,5,2,NA,NA,NA,NA,1
30000,47,1,2,NA,10,1,4,2,5,7,2,1,2,0,0,660,3
48000,48,1,2,3,8,3,4,2,6,8,3,1,NA,NA,NA,1000,2
0,65,1,5,NA,13,2,4,9,17,6,5,2,NA,NA,NA,NA,1
31000,61,1,2,5,12,4,4,1,5,7,5,2,5,0,0,NA,2
0,86,2,5,NA,18,2,6,9,17,3,5,2,NA,NA,NA,NA,1
0,73,1,5,5,15,5,4,9,17,8,5,2,3,1,0,NA,1
0,70,1,5,NA,14,2,4,9,17,2,5,2,NA,NA,NA,NA,2
27000,62,1,3,3,12,3,4,1,4,6,3,2,NA,NA,NA,NA,1
0,56,2,4,NA,12,2,3,9,17,NA,4,1,NA,NA,NA,750,1
60000,45,1,1,4,9,4,6,2,2,8,1,1,3,0,0,600,1
22000,53,2,2,NA,11,1,2,2,5,5,2,1,NA,NA,NA,740,3
13000,35,1,2,4,6,4,7,3,6,4,4,4,NA,NA,NA,400,3
0,77,2,5,NA,16,2,5,9,17,2,5,2,NA,NA,NA,NA,3
36000,51,2,2,2,11,3,3,2,2,7,2,1,5,0,0,NA,2
44000,38,1,2,2,7,3,4,3,6,8,2,4,4,0,0,300,2
11000,62,1,5,3,13,4,2,9,17,8,5,2,NA,NA,NA,NA,1
62000,43,1,2,2,9,3,4,1,4,8,2,1,NA,NA,NA,1000,4
30000,61,1,2,NA,13,1,4,2,2,7,2,4,NA,NA,NA,500,3
30000,44,1,2,11,9,4,4,1,4,6,11,2,3,0,0,NA,1
62000,30,1,2,2,6,3,4,1,4,8,2,4,3,0,0,760,1
19000,42,1,2,NA,9,1,4,6,10,4,2,2,NA,NA,NA,NA,2
42000,54,2,2,2,11,3,4,2,6,8,2,2,NA,NA,NA,NA,1
0,75,1,5,5,15,5,4,9,17,NA,5,2,3,0,0,NA,1
16000,40,2,2,NA,8,1,3,5,8,4,2,4,NA,NA,NA,1000,1
0,60,1,6,6,12,5,1,9,17,2,6,4,NA,NA,NA,400,6
6000,52,2,1,NA,11,1,4,2,5,3,1,2,1,1,0,NA,3
20000,24,2,2,NA,5,1,3,2,5,5,2,4,NA,NA,NA,650,2
57000,49,1,1,11,10,4,1,4,12,8,11,2,NA,NA,NA,NA,3
62000,57,1,2,2,12,3,3,1,5,8,2,2,NA,NA,NA,NA,1
0,63,2,5,NA,13,2,4,2,5,3,5,1,3,0,0,240,3
6000,76,2,3,NA,16,1,3,6,6,3,3,4,NA,NA,NA,700,3
32000,28,2,1,1,8,3,4,4,12,7,1,4,NA,NA,NA,750,2
0,72,2,5,NA,15,2,4,9,17,2,5,2,3,0,0,NA,1
0,23,2,8,NA,5,2,2,9,17,1,8,4,NA,NA,NA,300,8
0,69,1,5,5,14,5,4,9,17,8,5,2,NA,NA,NA,NA,2
0,61,2,5,5,13,5,4,9,17,NA,5,2,3,0,0,NA,1
0,58,2,6,NA,12,2,4,9,17,NA,6,1,NA,NA,NA,330,1
45000,41,2,2,2,10,3,4,2,2,8,2,2,NA,NA,NA,NA,3
22000,24,2,2,NA,5,1,4,3,6,5,2,4,3,1,0,570,2
36000,51,2,2,NA,11,1,4,2,5,7,2,2,5,0,0,NA,1
24000,40,2,2,NA,8,1,4,3,6,5,2,1,NA,NA,NA,350,1
0,22,1,8,8,5,5,2,5,8,1,8,4,1,0,0,600,5
0,20,1,8,8,4,5,2,6,6,1,8,4,1,1,0,730,3
36000,40,2,2,NA,8,1,4,7,7,7,2,4,3,1,0,580,3
0,71,1,5,NA,15,2,5,9,17,2,5,2,NA,NA,NA,NA,1
26000,35,2,2,NA,7,1,4,1,4,6,2,4,5,0,0,650,3
47000,52,1,2,3,11,3,4,2,6,8,2,1,3,0,0,240,3
0,66,1,5,5,14,5,1,9,17,NA,5,2,5,0,0,NA,8
20000,29,1,2,NA,6,1,2,5,9,5,2,4,1,1,0,600,2
29000,50,2,3,NA,10,1,7,9,17,6,3,1,NA,NA,NA,NA,8
34000,45,1,2,NA,9,1,4,2,2,7,2,1,3,1,0,420,1
0,60,1,11,4,12,5,6,9,17,3,4,4,1,0,0,500,3
21000,61,2,3,NA,13,1,2,6,10,5,3,4,NA,NA,NA,340,3
0,80,2,5,NA,16,2,6,9,17,NA,5,4,2,0,0,400,3
15000,45,1,2,4,8,4,7,7,9,5,4,4,NA,NA,NA,750,3
24000,48,2,2,6,10,4,1,2,2,7,2,4,NA,NA,NA,580,5
16000,46,1,2,NA,10,1,1,6,6,4,2,4,1,0,0,700,3
13000,68,1,5,2,13,4,6,9,17,3,2,2,NA,NA,NA,NA,2
12000,29,2,2,NA,6,1,1,6,6,5,2,4,NA,NA,NA,680,3
0,80,1,5,5,15,5,5,9,17,2,5,2,NA,NA,NA,NA,3
36000,37,2,2,NA,8,1,4,1,1,7,2,2,NA,NA,NA,NA,3
30000,53,1,2,6,11,4,6,1,4,6,2,4,NA,NA,NA,830,3
0,61,1,10,NA,13,2,2,9,17,2,10,4,1,0,0,350,2
0,62,2,10,NA,13,2,5,9,17,2,10,4,NA,NA,NA,400,4
48000,23,2,1,1,5,3,1,4,12,8,1,4,1,1,0,680,3
62000,31,2,2,2,7,3,5,2,5,8,2,1,NA,NA,NA,740,2
43000,30,1,2,2,6,3,1,5,9,8,2,1,3,0,0,400,2
47000,28,1,2,2,6,3,4,2,5,8,2,4,4,0,0,1000,2
33000,37,1,2,3,8,3,4,2,5,7,3,1,3,1,0,750,2
0,86,2,5,NA,18,2,6,9,17,4,5,2,NA,NA,NA,NA,2
62000,32,1,1,2,6,3,4,1,5,8,2,4,NA,NA,NA,900,1
43000,40,1,2,NA,8,1,4,1,4,8,2,1,3,0,1,1000,2
43000,42,1,2,3,9,3,4,1,4,8,2,1,NA,NA,NA,240,3
0,70,1,5,5,14,5,4,9,17,8,5,2,3,0,0,NA,1
14000,51,2,2,NA,11,1,3,3,6,3,2,2,3,0,0,NA,2
0,86,2,5,NA,18,2,3,9,17,4,5,2,NA,NA,NA,NA,3
52000,45,2,2,2,10,3,4,2,2,8,2,1,NA,NA,NA,1000,2
36000,41,2,2,NA,9,1,4,1,5,7,2,4,3,0,0,1000,2
20000,74,1,5,3,15,4,4,9,17,8,5,4,NA,NA,NA,920,3
0,80,1,5,5,16,5,6,9,17,NA,5,2,3,0,0,NA,1
0,70,1,5,5,14,5,2,2,5,3,5,2,3,0,0,NA,4
29000,20,2,2,2,4,3,2,3,6,6,2,4,NA,NA,NA,1000,3
0,30,1,8,8,6,5,4,9,17,NA,8,4,NA,NA,NA,650,3
28000,26,1,2,NA,6,1,NA,2,2,6,2,4,NA,NA,NA,800,3
36000,55,2,2,NA,11,1,4,1,5,7,2,1,NA,NA,NA,450,2
19000,38,1,2,NA,8,1,3,3,6,4,2,1,NA,NA,NA,250,2
38000,29,1,2,3,6,3,4,2,5,7,2,4,2,0,1,880,2
0,69,1,5,NA,14,2,4,9,17,NA,5,2,NA,NA,NA,NA,1
20000,34,2,2,NA,7,1,3,7,7,5,2,4,NA,NA,NA,750,2
0,51,2,10,NA,11,2,1,9,17,2,10,4,NA,NA,NA,270,4
61000,43,2,2,1,9,3,4,1,4,8,2,1,1,1,0,1000,1
13000,21,2,3,NA,5,1,4,5,9,3,3,4,2,0,0,420,3
19000,22,1,2,NA,5,1,NA,5,8,4,2,4,2,0,0,1000,2
0,63,2,5,5,13,5,4,9,17,2,5,2,NA,NA,NA,NA,1
